@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {highlights,background}

@DATA
0.223483,0.032827,3.054532,0.318235,0.228846,1.671592,0.008565,0.415674,-23.600517,1.074865,-0.063740,-0.287487,-0.070177,-0.032999,0.087805,0.007611,-0.047525,-0.100179,0.037170,0.040050,-0.059951,0.010571,0.006087,0.008511,0.009817,0.008606,0.009659,0.014777,0.004655,0.009300,0.019913,0.020159,0.008518,0.014955,0.136527,0.022025,0.300965,0.114986,0.027725,0.580665,0.004491,0.207042,1.566748,0.620532,0.834882,0.508966,0.450709,0.316706,0.319966,0.304983,0.241676,0.282174,0.220477,0.221036,0.284640,0.013211,0.008079,0.009214,0.016505,0.010210,0.014699,0.018038,0.008872,0.016776,0.023411,0.023381,0.013855,0.009093,background
0.193354,0.025859,3.065267,0.292055,0.228594,1.564546,0.008290,0.346212,-23.731066,1.140668,-0.084900,-0.313091,-0.163460,-0.132795,-0.013285,0.068692,-0.083244,-0.092587,0.053491,0.021107,-0.017444,0.016796,0.007955,0.011970,0.010853,0.013602,0.013850,0.018970,0.004238,0.010909,0.012111,0.015291,0.009308,0.016426,0.109084,0.020225,0.243095,0.089052,0.026251,0.712774,0.004829,0.211375,1.157304,0.685496,0.641988,0.501863,0.420966,0.309242,0.319291,0.270379,0.268457,0.250293,0.203482,0.231298,0.248449,0.022760,0.010020,0.015999,0.011749,0.018399,0.022363,0.020598,0.007353,0.017726,0.012720,0.016486,0.012793,0.012114,background
0.184486,0.022428,3.038459,0.279273,0.232378,1.490357,0.007864,0.337528,-23.698872,1.404450,0.016036,-0.035149,-0.070062,0.017350,0.040184,-0.088365,-0.076820,0.036426,-0.074383,-0.108760,-0.324721,0.030872,0.007185,0.019369,0.011856,0.013643,0.007985,0.018380,0.007419,0.008015,0.020040,0.022216,0.010060,0.019358,0.094616,0.015755,0.278884,0.077199,0.033118,0.549517,0.004222,0.183218,1.080822,0.540729,0.664576,0.375714,0.467962,0.321657,0.323237,0.284242,0.274185,0.218940,0.293068,0.285337,0.299632,0.029923,0.010255,0.016348,0.011908,0.015460,0.007706,0.019729,0.011723,0.011102,0.026493,0.023346,0.012389,0.009513,background
0.124480,0.035647,3.250617,0.198033,0.192134,1.303929,0.004004,0.200121,-21.870059,1.651394,-0.529367,0.221137,-0.164968,-0.028511,0.053258,-0.204986,-0.202209,0.029905,0.072024,-0.209388,-0.142065,0.011906,0.005519,0.017899,0.025925,0.011566,0.010445,0.019750,0.002762,0.015778,0.015625,0.018759,0.004678,0.012083,0.018673,0.009113,0.035041,0.017874,0.013431,0.193943,0.001063,0.032616,0.327845,0.240746,0.267437,0.183277,0.192280,0.196956,0.178844,0.206111,0.183674,0.190848,0.207977,0.158335,0.158515,0.009719,0.003972,0.011885,0.018804,0.007517,0.007453,0.011592,0.002372,0.009411,0.010851,0.009154,0.004977,0.003777,background
0.129027,0.041460,3.244185,0.195427,0.188365,1.339125,0.004090,0.192843,-21.649546,1.530858,-0.798561,0.190838,-0.247784,-0.009503,0.114612,-0.163118,-0.071660,0.208350,-0.027938,-0.125322,-0.284388,0.017381,0.005412,0.017538,0.013410,0.007864,0.010408,0.026420,0.010722,0.009309,0.010771,0.020797,0.014337,0.013654,0.015032,0.008659,0.035183,0.017291,0.017552,0.146612,0.001119,0.024401,0.344497,0.281412,0.217406,0.174438,0.234791,0.213743,0.194990,0.209207,0.220516,0.229986,0.190892,0.183023,0.153789,0.016440,0.004361,0.013062,0.010089,0.007869,0.007949,0.017095,0.009721,0.007530,0.006645,0.012650,0.011284,0.004182,background
0.117648,0.033148,3.252928,0.190409,0.189610,1.260686,0.004229,0.185605,-21.966326,1.715916,-0.657770,0.191256,-0.446608,-0.085546,0.065336,-0.128396,-0.203647,-0.043642,-0.056602,-0.167262,-0.197114,0.009267,0.006623,0.017891,0.028734,0.012631,0.009723,0.015452,0.004664,0.014111,0.022613,0.017419,0.003242,0.012480,0.017095,0.006488,0.036380,0.023298,0.022443,0.189381,0.001227,0.025366,0.275049,0.244145,0.205041,0.173950,0.208571,0.179734,0.192896,0.178814,0.184468,0.144349,0.172876,0.187688,0.148693,0.007423,0.005457,0.010769,0.018040,0.008036,0.009807,0.010366,0.004651,0.010086,0.012570,0.011507,0.002753,0.004057,background
0.132822,0.054820,3.251758,0.210821,0.203781,1.416019,0.003640,0.208395,-21.160249,1.558139,-0.615352,0.168872,-0.324068,-0.051534,0.107106,-0.067564,-0.141592,-0.108883,-0.151173,-0.211907,-0.120343,0.010748,0.007264,0.023758,0.030478,0.011536,0.007590,0.014230,0.002720,0.014176,0.016258,0.010593,0.003471,0.011848,0.019689,0.009826,0.032670,0.017189,0.010079,0.218778,0.001067,0.034963,0.278827,0.247851,0.246616,0.168296,0.206528,0.175550,0.187774,0.163600,0.167348,0.180990,0.181614,0.180591,0.174402,0.007501,0.004546,0.013929,0.018786,0.007237,0.005008,0.009262,0.002327,0.009467,0.008950,0.006036,0.002407,0.004490,background
0.157230,0.050231,3.258038,0.236383,0.225421,1.591863,0.003709,0.246214,-21.418428,1.457014,-0.679596,0.329842,0.021199,0.118145,0.266430,-0.205795,-0.069991,0.046219,-0.117659,-0.133884,-0.143874,0.014567,0.006467,0.024220,0.012875,0.016801,0.013081,0.027090,0.007923,0.012590,0.008192,0.015158,0.006569,0.013583,0.027729,0.010732,0.030658,0.021712,0.012809,0.262713,0.001132,0.071546,0.263663,0.290395,0.265554,0.185588,0.197072,0.170886,0.154568,0.180256,0.207461,0.199411,0.184563,0.163354,0.154010,0.010202,0.003764,0.014366,0.007905,0.014669,0.010052,0.017226,0.007617,0.008764,0.004928,0.009217,0.007630,0.004991,background
0.134114,0.049804,3.243908,0.211518,0.206944,1.398140,0.003675,0.207511,-21.326194,1.580064,-0.584766,0.273211,-0.210458,0.036112,0.121188,-0.081020,0.074415,0.001616,0.002342,-0.291530,-0.166626,0.015430,0.008105,0.024972,0.020256,0.012665,0.012057,0.017847,0.003829,0.012275,0.012598,0.026764,0.012753,0.013536,0.017913,0.013060,0.046351,0.018336,0.015789,0.195186,0.001058,0.030445,0.322228,0.219999,0.230883,0.179080,0.224571,0.181951,0.195977,0.169322,0.188407,0.176045,0.152560,0.175648,0.166413,0.012246,0.007608,0.011601,0.013696,0.010425,0.008610,0.013142,0.004317,0.008226,0.007886,0.015216,0.011128,0.004042,background
0.159171,0.036775,3.251193,0.238766,0.221117,1.632541,0.003402,0.256182,-21.714808,1.331016,-0.805585,0.278503,-0.045274,0.088365,0.282875,-0.212327,-0.152640,0.003384,-0.081931,-0.163493,-0.127859,0.015356,0.005284,0.021388,0.012237,0.014139,0.013371,0.025720,0.011849,0.012721,0.007131,0.014723,0.007341,0.012240,0.028005,0.008688,0.035045,0.026289,0.018173,0.240737,0.000852,0.077274,0.345962,0.270166,0.226519,0.193212,0.208835,0.165722,0.179185,0.172615,0.193664,0.157508,0.189208,0.193813,0.173323,0.014330,0.003360,0.011989,0.007291,0.009884,0.013109,0.014652,0.009510,0.009692,0.004190,0.011875,0.004893,0.004184,background
